partner_id,name,location_id,role,skills,employment_type,desired_weekly_hours,preference,avail_start_hour,avail_end_hour,unavailable_days,productivity_score,no_show_risk,fatigue_sensitivity,pay_rate,tenure_months,is_probationary
5614226,Kylie Green,LOC001,Store Manager,"bar,register,drive_thru,warming,floor",full_time,50,morning,5,15,,0.704,0.021,0,28.87,106,0
8078673,Ashley Baker,LOC001,Assistant Store Manager,"bar,register,drive_thru,warming,floor",full_time,48,morning,5,15,4,0.923,0.029,0,31.51,23,0
8038374,Justin Martinez,LOC001,Shift Supervisor,"bar,register,drive_thru,warming,floor",full_time,40,midday,8,18,4,0.715,0.048,0,26.93,31,0
3608513,Julia Thomas,LOC001,Shift Supervisor,"bar,register,drive_thru,warming,floor",full_time,34,morning,5,15,2,0.646,0.061,0,23.15,41,0
5437923,Brianna Smith,LOC001,Shift Supervisor,"bar,register,drive_thru,warming,floor",full_time,38,morning,5,15,,0.625,0.047,0,21.85,50,0
4226067,Chris Brown,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,33,flexible,5,22,6,0.958,0.085,0,21.84,47,0
7120868,Isaiah King,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,19,morning,5,15,"3,2",0.661,0.196,0,15.2,59,0
8755439,Olivia Hernandez,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,17,morning,5,15,1,0.991,0.062,1,20.16,21,0
4842788,Ashley Turner,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,22,midday,8,18,6,0.635,0.093,0,19.09,8,0
7637601,Stephanie Diaz,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,37,midday,8,18,,0.864,0.133,0,21.3,64,0
3320821,Zoe Moore,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,38,evening,12,22,"3,2",0.78,0.138,0,18.41,29,0
2065818,Omar Lee,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,34,morning,5,15,6,0.858,0.087,0,20.74,55,0
5476583,Mia Collins,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,12,evening,12,22,0,0.646,0.074,0,18.63,69,0
2785277,Marcus White,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,36,morning,5,15,"6,1",0.947,0.028,0,15.95,65,0
1009594,Michael Moore,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,23,midday,8,18,4,0.735,0.066,0,21.74,68,0
2437026,Vanessa Walker,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,19,evening,12,22,,0.69,0.094,0,20.68,11,0
5446912,Samantha Gonzalez,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,16,midday,8,18,4,0.625,0.184,1,19.57,22,0
8350099,Sofia Collins,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,21,midday,8,18,,0.693,0.192,0,17.01,48,0
1120642,Chloe Scott,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,40,morning,5,15,,0.889,0.182,0,17.28,29,0
5672073,Vanessa Gonzalez,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,37,morning,5,15,,0.764,0.026,0,21.45,31,0
4194548,Diana Clark,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,19,flexible,5,22,6,0.897,0.052,0,21.87,53,0
2016911,Rachel Smith,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,26,flexible,5,22,"0,5",0.875,0.163,0,18.51,13,0
3351868,Samantha Flores,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,18,midday,8,18,,0.752,0.072,0,18.63,58,0
2642635,Carlos Roberts,LOC001,Barista,"bar,register,drive_thru,warming,floor",full_time,39,morning,5,15,6,0.924,0.097,1,15.03,71,0
9075854,Julia Wilson,LOC001,Barista,"bar,register,drive_thru,warming,floor",part_time,19,morning,5,15,,0.864,0.059,0,18.31,63,0
